	gene	coef
1	BOK	0.511423669995052
2	CLU	0.0918121628956906
3	CTSC	-1.31377365765498
4	CXCL12	0.818328119972077
5	FGF10	0.418311389370291
6	HRK	-0.0333996130722516
7	IFI16	-0.0919445787526025
8	IFI6	-0.354714446249242
9	INHBA	-1.58981051930443
10	LRRK2	0.301498046014015
11	NME5	0.454241238052936
12	PRKN	0.00202053613292582
13	RNF183	0.19220514989217
14	TP63	-0.234029706872073
15	FTL	-0.572575569699466
16	HSP90AA1	-1.47872140591126
17	HSPB8	0.771386407929843
18	SYNPO2	0.0835926491897751
19	TREM2	-0.0233049652679701
20	EIF2AK2	-0.774751987253885
21	PTGDS	0.222598301553818
22	ATP6V1C1	-0.265873504543961
23	ATP6V1D	0.240437437936132
24	STAT1	-0.0101132255374396
25	GALNS	-0.153667861931483
26	MIA	0.00505870001170972
